task,metric,metric_label,contrast,size_variant,scope,test_subset,role,n_pairs,dropped_pairs,mean,lo,hi,p,verdict
fixture_ed_repeat,auc_1se,AUC,Other - Same,equal,per-subset,2020,exploratory,10,0,0.004253009721845924,-0.00523322005215335,0.013739239495845197,0.33697323180062927,no difference
fixture_ed_repeat,auc_1se,AUC,Other - Same,equal,pooled,pooled,exploratory,20,0,-0.0036944806755947303,-0.009987717374480846,0.0025987560232913843,0.23417831094283875,no difference
fixture_ed_repeat,percent_error_1se,percent error,All - Same,full,per-subset,2019,exploratory,10,0,-0.005500540096916584,-0.05606624257908671,0.04506516238525354,0.8111424874843424,no difference
fixture_ed_repeat,percent_error_1se,percent error,All - Same,full,per-subset,2020,exploratory,10,0,-0.007194243674435441,-0.04316825535103314,0.02877976800216226,0.6616906625801445,no difference
fixture_ed_repeat,percent_error_1se,percent error,All - Same,full,pooled,pooled,exploratory,20,0,-0.0063473918856760125,-0.03429307678716277,0.02159829301581075,0.6399249584749327,no difference
fixture_ed_repeat,percent_error_1se,percent error,All - Same,equal,per-subset,2019,exploratory,10,0,-0.0659280313316557,-0.10652332578118257,-0.025332736882128837,0.0051244150993782584,better
fixture_ed_repeat,percent_error_1se,percent error,All - Same,equal,per-subset,2020,exploratory,10,0,0.014384609747681854,-0.03288689084305193,0.061656110338415636,0.5085731966091673,no difference
fixture_ed_repeat,percent_error_1se,percent error,All - Same,equal,pooled,pooled,exploratory,20,0,-0.025771710791986924,-0.05981561721832233,0.00827219563434848,0.1295950704551756,no difference
fixture_ed_repeat,percent_error_1se,percent error,Other - Same,equal,per-subset,2019,exploratory,10,0,-0.08790001870726649,-0.17519977502361506,-0.0006002623909179272,0.048744567987780416,better
fixture_ed_repeat,percent_error_1se,percent error,Other - Same,equal,per-subset,2020,exploratory,10,0,0.02877309895631508,-0.016276896298344945,0.0738230942109751,0.18240726943238536,no difference
fixture_ed_repeat,percent_error_1se,percent error,Other - Same,equal,pooled,pooled,exploratory,20,0,-0.029563459875475706,-0.08192131087015567,0.022794391119204255,0.25186182743586083,no difference
fixture_ed_repeat,brier_1se,Brier score,All - Same,full,per-subset,2019,exploratory,10,0,-0.00024979067742905947,-0.0003955579751332964,-0.00010402337972482248,0.0037514214974955495,better
fixture_ed_repeat,brier_1se,Brier score,All - Same,full,per-subset,2020,exploratory,10,0,-0.00009666993519535649,-0.0001736939511000473,-0.00001964591929066569,0.019430153100917783,better
fixture_ed_repeat,brier_1se,Brier score,All - Same,full,pooled,pooled,exploratory,20,0,-0.00017323030631220799,-0.00025606978387652157,-0.00009039082874789441,0.0003243644538821886,better
fixture_ed_repeat,brier_1se,Brier score,All - Same,equal,per-subset,2019,exploratory,10,0,0.00005377847907019097,-0.0001780711671692023,0.0002856281253095842,0.6124581675316482,no difference
fixture_ed_repeat,brier_1se,Brier score,All - Same,equal,per-subset,2020,exploratory,10,0,-0.00004324466322174654,-0.00028091993684193354,0.00019443061039844044,0.6902646943466414,no difference
fixture_ed_repeat,brier_1se,Brier score,All - Same,equal,pooled,pooled,exploratory,20,0,5.266907924222214e-6,-0.00014604265833908318,0.0001565764741875276,0.9426824511130671,no difference
fixture_ed_repeat,brier_1se,Brier score,Other - Same,equal,per-subset,2019,exploratory,10,0,0.00007881926286274106,-0.0001622563804734068,0.0003198949061988889,0.4783844836513829,no difference
fixture_ed_repeat,brier_1se,Brier score,Other - Same,equal,per-subset,2020,exploratory,10,0,-0.00003780773539134273,-0.000207917274569473,0.00013230180378678751,0.6271939732969466,no difference
fixture_ed_repeat,brier_1se,Brier score,Other - Same,equal,pooled,pooled,exploratory,20,0,0.000020505763735699165,-0.00011526762687357312,0.00015627915434497145,0.7553668456081621,no difference
fixture_ed_repeat_conservative,auc_1se,AUC,All - Same,full,per-subset,2019,exploratory,10,0,0.0038235909478893217,-0.004129798574306985,0.01177698047008563,0.3050672008335393,no difference
fixture_ed_repeat_conservative,auc_1se,AUC,All - Same,full,per-subset,2020,exploratory,10,0,0.005092308600286111,0.0011493742263113836,0.009035242974260838,0.016988065504955418,better
fixture_ed_repeat_conservative,auc_1se,AUC,All - Same,full,pooled,pooled,confirmatory,20,0,0.004457949774087716,0.00044919027255551237,0.008466709275619919,0.031139840717548904,better
fixture_ed_repeat_conservative,auc_1se,AUC,All - Same,equal,per-subset,2019,exploratory,10,0,-0.006705790195020145,-0.014178031798167588,0.000766451408127298,0.07292022820890558,no difference
fixture_ed_repeat_conservative,auc_1se,AUC,All - Same,equal,per-subset,2020,exploratory,10,0,0.002624022612419252,-0.0074000533267926175,0.012648098551631123,0.5683134727016508,no difference
fixture_ed_repeat_conservative,auc_1se,AUC,All - Same,equal,pooled,pooled,exploratory,20,0,-0.0020408837913004465,-0.008099816082457856,0.004018048499856964,0.48935616661062603,no difference
fixture_ed_repeat_conservative,auc_1se,AUC,Other - Same,equal,per-subset,2019,exploratory,10,0,-0.011290208818098179,-0.016971639703257557,-0.005608777932938802,0.0014988593946151094,worse
fixture_ed_repeat_conservative,auc_1se,AUC,Other - Same,equal,per-subset,2020,exploratory,10,0,0.005965365526684185,-0.005825872889527426,0.017756603942895795,0.28195672459585147,no difference
fixture_ed_repeat_conservative,auc_1se,AUC,Other - Same,equal,pooled,pooled,exploratory,20,0,-0.0026624216457069973,-0.009866350731146323,0.004541507439732328,0.44872203842665814,no difference
fixture_ed_repeat_conservative,percent_error_1se,percent error,All - Same,full,per-subset,2019,exploratory,10,0,-0.010982976386599841,-0.07186895146338423,0.04990299869018456,0.6927656264160974,no difference
fixture_ed_repeat_conservative,percent_error_1se,percent error,All - Same,full,per-subset,2020,exploratory,10,0,-0.021577560888386138,-0.05178037630063581,0.008625254523863531,0.14052078851679561,no difference
fixture_ed_repeat_conservative,percent_error_1se,percent error,All - Same,full,pooled,pooled,exploratory,20,0,-0.01628026863749299,-0.04698918456443652,0.014428647289450543,0.2810132361694947,no difference
fixture_ed_repeat_conservative,percent_error_1se,percent error,All - Same,equal,per-subset,2019,exploratory,10,0,0.010992028290216505,-0.04396408479271824,0.06594814137315125,0.6616432983087392,no difference
fixture_ed_repeat_conservative,percent_error_1se,percent error,All - Same,equal,per-subset,2020,exploratory,10,0,0.01798302458357104,-0.039222109310274283,0.07518815847741636,0.4950184413053635,no difference
fixture_ed_repeat_conservative,percent_error_1se,percent error,All - Same,equal,pooled,pooled,exploratory,20,0,0.014487526436893772,-0.02127061850735846,0.050245671381146,0.4069969546845871,no difference
fixture_ed_repeat_conservative,percent_error_1se,percent error,Other - Same,equal,per-subset,2019,exploratory,10,0,-0.021965952773200792,-0.09879954252865181,0.05486763698225022,0.5339519157525886,no difference
fixture_ed_repeat_conservative,percent_error_1se,percent error,Other - Same,equal,per-subset,2020,exploratory,10,0,0.028769220425240993,-0.002858399756952748,0.060396840607434735,0.06973808945734537,no difference
fixture_ed_repeat_conservative,percent_error_1se,percent error,Other - Same,equal,pooled,pooled,exploratory,20,0,0.0034016338260201007,-0.035944293630933696,0.0427475612829739,0.8583219718499909,no difference
fixture_ed_repeat_conservative,brier_1se,Brier score,All - Same,full,per-subset,2019,exploratory,10,0,-0.000259663242828332,-0.00041600438926541454,-0.00010332209639124951,0.004504662803176275,better
fixture_ed_repeat_conservative,brier_1se,Brier score,All - Same,full,per-subset,2020,exploratory,10,0,-0.0000752646666557992,-0.0001494945679710268,-1.0347653405715887e-6,0.0474870006491859,better
fixture_ed_repeat_conservative,brier_1se,Brier score,All - Same,full,pooled,pooled,exploratory,20,0,-0.0001674639547420656,-0.0002570903004132242,-0.00007783760907090697,0.00093946093934496,better
fixture_ed_repeat_conservative,brier_1se,Brier score,All - Same,equal,per-subset,2019,exploratory,10,0,-5.027174077506732e-6,-0.00025163565728214803,0.00024158130912713455,0.9642259186385456,no difference
fixture_ed_repeat_conservative,brier_1se,Brier score,All - Same,equal,per-subset,2020,exploratory,10,0,0.000014579541559089915,-0.00023655898235119436,0.0002657180654693742,0.8984056403824631,no difference
fixture_ed_repeat_conservative,brier_1se,Brier score,All - Same,equal,pooled,pooled,exploratory,20,0,4.776183740791591e-6,-0.0001537803074315659,0.00016333267491314905,0.9503868564355774,no difference
fixture_ed_repeat_conservative,brier_1se,Brier score,Other - Same,equal,per-subset,2019,exploratory,10,0,0.0000916708597806775,-0.00014652270888288133,0.00032986442844423633,0.4065887905988234,no difference
fixture_ed_repeat_conservative,brier_1se,Brier score,Other - Same,equal,per-subset,2020,exploratory,10,0,0.00004583731855632156,-0.0001690852182280906,0.00026075985534073374,0.6409976495475318,no difference
fixture_ed_repeat_conservative,brier_1se,Brier score,Other - Same,equal,pooled,pooled,exploratory,20,0,0.00006875408916849953,-0.00007612434128240603,0.00021363251961940507,0.3330587014991801,no difference
fixture_foregone_care,auc_1se,AUC,All - Same,full,per-subset,2019,exploratory,10,0,0.0031789169370557424,-0.001377760497822014,0.007735594371933499,0.14898259422630092,no difference
fixture_foregone_care,auc_1se,AUC,All - Same,full,per-subset,2020,exploratory,10,0,-0.001061787654724411,-0.004272220791843265,0.002148645482394443,0.4734574646564741,no difference
fixture_foregone_care,auc_1se,AUC,All - Same,full,pooled,pooled,confirmatory,20,0,0.0010585646411656658,-0.0016499578247025047,0.0037670871070338363,0.42349144896849134,no difference
fixture_foregone_care,auc_1se,AUC,All - Same,equal,per-subset,2019,exploratory,10,0,0.0004931972553330998,-0.0036469760762686283,0.004633370586934828,0.7936376193195208,no difference
fixture_foregone_care,auc_1se,AUC,All - Same,equal,per-subset,2020,exploratory,10,0,-0.002660166764255989,-0.008633782708689905,0.0033134491801779264,0.34006582833285703,no difference
fixture_foregone_care,auc_1se,AUC,All - Same,equal,pooled,pooled,exploratory,20,0,-0.0010834847544614445,-0.004442574855889187,0.0022756053469662977,0.5077383275893942,no difference
fixture_foregone_care,auc_1se,AUC,Other - Same,equal,per-subset,2019,exploratory,10,0,-0.00014762451184778812,-0.004607692031384078,0.004312443007688502,0.9419516351654016,no difference
